Sub-Category,Region,Sales,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Product ID,Category,Product Name
Storage,West,5.98,CA-2018-137729,Standard Class,BF-11005,Barry Franz,Home Office,United States,Los Angeles,California,OFF-ST-10001505,Office Supplies,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H"
Storage,West,8.94,CA-2016-113320,Second Class,LH-17155,Logan Haushalter,Consumer,United States,Oakland,California,OFF-ST-10000617,Office Supplies,Woodgrain Magazine Files by Perma
Storage,West,10.48,US-2019-133312,Standard Class,BD-11500,Bradley Drucker,Consumer,United States,San Francisco,California,OFF-ST-10001325,Office Supplies,Sterilite Officeware Hinged File Box
Storage,West,10.56,CA-2019-142342,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Apple Valley,California,OFF-ST-10002957,Office Supplies,Sterilite Show Offs Storage Containers
Storage,West,10.68,US-2019-149006,Second Class,BN-11470,Brad Norvell,Corporate,United States,Brentwood,California,OFF-ST-10003221,Office Supplies,Staple magnet
Storage,West,10.744,CA-2017-133837,Standard Class,TH-21100,Thea Hendricks,Consumer,United States,Glendale,Arizona,OFF-ST-10000344,Office Supplies,"Neat Ideas Personal Hanging Folder Files, Black"
Storage,West,10.744,CA-2019-159884,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,Tempe,Arizona,OFF-ST-10000344,Office Supplies,"Neat Ideas Personal Hanging Folder Files, Black"
Storage,West,12.624,CA-2019-153822,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,OFF-ST-10000321,Office Supplies,Akro Stacking Bins
Storage,West,14.03,CA-2018-112578,Standard Class,FO-14305,Frank Olsen,Consumer,United States,Sacramento,California,OFF-ST-10003722,Office Supplies,Project Tote Personal File
Storage,West,14.03,CA-2019-118437,Second Class,PF-19165,Philip Fox,Consumer,United States,Olympia,Washington,OFF-ST-10003722,Office Supplies,Project Tote Personal File
Storage,West,14.97,CA-2016-168592,Standard Class,DP-13390,Dennis Pardue,Home Office,United States,San Francisco,California,OFF-ST-10002406,Office Supplies,Pizazz Global Quick File
Storage,West,14.98,CA-2019-130841,Standard Class,MH-17620,Matt Hagelstein,Corporate,United States,San Francisco,California,OFF-ST-10001580,Office Supplies,Super Decoflex Portable Personal File
Storage,West,15.51,CA-2017-167255,Second Class,RH-19510,Rick Huthwaite,Home Office,United States,San Francisco,California,OFF-ST-10001328,Office Supplies,"Personal Filing Tote with Lid, Black/Gray"
Storage,West,15.51,CA-2019-165155,First Class,BM-11575,Brendan Murry,Corporate,United States,Los Angeles,California,OFF-ST-10004950,Office Supplies,"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost"
Storage,West,15.58,CA-2019-158071,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,Seattle,Washington,OFF-ST-10001228,Office Supplies,Personal File Boxes with Fold-Down Carry Handle
Storage,West,15.78,CA-2016-150490,Standard Class,SS-20590,Sonia Sunley,Consumer,United States,San Francisco,California,OFF-ST-10000321,Office Supplies,Akro Stacking Bins
Storage,West,15.84,CA-2016-133424,Standard Class,Dl-13600,Dorris liebe,Corporate,United States,Seattle,Washington,OFF-ST-10002957,Office Supplies,Sterilite Show Offs Storage Containers
Storage,West,16.06,CA-2019-141747,Second Class,SC-20230,Scot Coram,Corporate,United States,Seattle,Washington,OFF-ST-10003996,Office Supplies,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite"
Storage,West,16.768,CA-2018-126613,Standard Class,AA-10375,Allen Armold,Consumer,United States,Mesa,Arizona,OFF-ST-10001325,Office Supplies,Sterilite Officeware Hinged File Box
Storage,West,17.94,CA-2018-167241,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,Los Angeles,California,OFF-ST-10001505,Office Supplies,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H"
Storage,West,20.34,US-2016-138247,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Los Angeles,California,OFF-ST-10002301,Office Supplies,Tennsco Commercial Shelving
Storage,West,21.36,CA-2016-114510,Standard Class,JF-15295,Jason Fortune-,Consumer,United States,Logan,Utah,OFF-ST-10003221,Office Supplies,Staple magnet
Storage,West,21.39,CA-2016-139451,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,OFF-ST-10002370,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black"
Storage,West,23.669999999999998,CA-2018-126732,Standard Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,OFF-ST-10000321,Office Supplies,Akro Stacking Bins
Storage,West,23.92,CA-2016-114125,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Los Angeles,California,OFF-ST-10001505,Office Supplies,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H"
Storage,West,26.400000000000002,US-2019-131849,Standard Class,GH-14410,Gary Hansen,Home Office,United States,San Francisco,California,OFF-ST-10002957,Office Supplies,Sterilite Show Offs Storage Containers
Storage,West,26.96,CA-2017-121391,First Class,AA-10315,Alex Avila,Consumer,United States,San Francisco,California,OFF-ST-10001590,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black"
Storage,West,27.92,CA-2018-147137,First Class,AA-10645,Anna Andreadi,Consumer,United States,San Francisco,California,OFF-ST-10002486,Office Supplies,Eldon Shelf Savers Cubes and Bins
Storage,West,29.304000000000002,CA-2017-165813,Second Class,BM-11785,Bryan Mills,Consumer,United States,Salem,Oregon,OFF-ST-10004258,Office Supplies,Portable Personal File Box
Storage,West,29.74,CA-2018-152940,First Class,RO-19780,Rose O'Brian,Consumer,United States,San Francisco,California,OFF-ST-10000352,Office Supplies,Acco Perma 2700 Stacking Storage Drawers
Storage,West,29.79,CA-2019-148264,First Class,LF-17185,Luke Foster,Consumer,United States,Inglewood,California,OFF-ST-10003327,Office Supplies,Akro-Mils 12-Gallon Tote
Storage,West,30.28,CA-2016-103940,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Seattle,Washington,OFF-ST-10004963,Office Supplies,Eldon Gobal File Keepers
Storage,West,31.44,CA-2017-130204,Standard Class,DB-13120,David Bremer,Corporate,United States,San Francisco,California,OFF-ST-10001325,Office Supplies,Sterilite Officeware Hinged File Box
Storage,West,31.44,CA-2019-107986,Same Day,MW-18220,Mitch Webber,Consumer,United States,Seattle,Washington,OFF-ST-10001325,Office Supplies,Sterilite Officeware Hinged File Box
Storage,West,31.44,CA-2019-132521,Second Class,DW-13540,Don Weiss,Consumer,United States,Seattle,Washington,OFF-ST-10001325,Office Supplies,Sterilite Officeware Hinged File Box
Storage,West,31.44,US-2019-103828,Same Day,JK-15370,Jay Kimmel,Consumer,United States,San Francisco,California,OFF-ST-10001325,Office Supplies,Sterilite Officeware Hinged File Box
Storage,West,31.92,CA-2016-157924,First Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,OFF-ST-10002352,Office Supplies,Iris Project Case
Storage,West,32.48,CA-2019-140151,First Class,RB-19360,Raymond Buch,Consumer,United States,Seattle,Washington,OFF-ST-10001558,Office Supplies,Acco Perma 4000 Stacking Storage Drawers
Storage,West,33.29,CA-2016-152345,Second Class,ST-20530,Shui Tom,Consumer,United States,Albuquerque,New Mexico,OFF-ST-10003123,Office Supplies,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems
Storage,West,33.29,US-2019-107888,First Class,CC-12220,Chris Cortes,Consumer,United States,Seattle,Washington,OFF-ST-10003123,Office Supplies,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems
Storage,West,33.48800000000001,CA-2018-112109,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Broomfield,Colorado,OFF-ST-10001505,Office Supplies,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H"
Storage,West,33.63,CA-2017-137708,Second Class,NG-18430,Nathan Gelder,Consumer,United States,Los Angeles,California,OFF-ST-10004634,Office Supplies,"Personal Folder Holder, Ebony"
Storage,West,33.87,US-2018-108455,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,San Francisco,California,OFF-ST-10002214,Office Supplies,X-Rack File for Hanging Folders
Storage,West,34.05,CA-2018-115224,Second Class,DB-13615,Doug Bickford,Consumer,United States,San Francisco,California,OFF-ST-10000615,Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
Storage,West,35.168,US-2019-107979,Standard Class,FO-14305,Frank Olsen,Consumer,United States,Glendale,Arizona,OFF-ST-10002485,Office Supplies,Rogers Deluxe File Chest
Storage,West,37.32,CA-2017-104486,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,San Francisco,California,OFF-ST-10000876,Office Supplies,Eldon Simplefile Box Office
Storage,West,37.32,CA-2019-115931,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Carlsbad,New Mexico,OFF-ST-10000876,Office Supplies,Eldon Simplefile Box Office
Storage,West,37.68,CA-2019-124401,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Portland,Oregon,OFF-ST-10000649,Office Supplies,Hanging Personal Folder File
Storage,West,39.072,CA-2016-129364,Standard Class,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,OFF-ST-10001031,Office Supplies,Adjustable Personal File Tote
Storage,West,39.808,US-2018-114230,Standard Class,CM-12235,Chris McAfee,Consumer,United States,Phoenix,Arizona,OFF-ST-10000876,Office Supplies,Eldon Simplefile Box Office
Storage,West,39.900000000000006,CA-2019-169929,First Class,LS-17200,Luke Schmidt,Corporate,United States,Helena,Montana,OFF-ST-10002352,Office Supplies,Iris Project Case
Storage,West,40.68,CA-2016-158225,Standard Class,SE-20110,Sanjit Engle,Consumer,United States,San Jose,California,OFF-ST-10002301,Office Supplies,Tennsco Commercial Shelving
Storage,West,40.68,CA-2019-105487,Standard Class,CS-12250,Chris Selesnick,Corporate,United States,San Diego,California,OFF-ST-10002301,Office Supplies,Tennsco Commercial Shelving
Storage,West,40.74,CA-2017-145415,Second Class,RD-19660,Robert Dilbeck,Home Office,United States,Seattle,Washington,OFF-ST-10000419,Office Supplies,"Rogers Jumbo File, Granite"
Storage,West,41.88,CA-2017-162166,First Class,NM-18520,Neoma Murray,Consumer,United States,Moreno Valley,California,OFF-ST-10002486,Office Supplies,Eldon Shelf Savers Cubes and Bins
Storage,West,41.96,CA-2018-155187,Second Class,LA-16780,Laura Armstrong,Corporate,United States,Los Angeles,California,OFF-ST-10000642,Office Supplies,"Tennsco Lockers, Gray"
Storage,West,42.76,CA-2019-108854,Standard Class,DM-13345,Denise Monton,Corporate,United States,San Francisco,California,OFF-ST-10001837,Office Supplies,"SAFCO Mobile Desk Side File, Wire Frame"
Storage,West,42.976,CA-2018-112669,Same Day,KT-16465,Kean Takahito,Consumer,United States,Glendale,Arizona,OFF-ST-10001228,Office Supplies,"Fellowes Personal Hanging Folder Files, Navy"
